
time 00h 01m 00s, episodes 100, frames 0.1M, mean epr -20.51, run loss -36.93
time 00h 02m 00s, episodes 205, frames 0.3M, mean epr -20.37, run loss -2.56
time 00h 03m 00s, episodes 306, frames 0.4M, mean epr -20.26, run loss 15.50
time 00h 04m 00s, episodes 397, frames 0.5M, mean epr -19.99, run loss 29.86
time 00h 05m 00s, episodes 488, frames 0.6M, mean epr -19.75, run loss 38.49
time 00h 06m 00s, episodes 577, frames 0.8M, mean epr -19.49, run loss 45.48
time 00h 07m 00s, episodes 659, frames 0.9M, mean epr -19.46, run loss 49.49
time 00h 08m 00s, episodes 746, frames 1.0M, mean epr -19.49, run loss 52.30
time 00h 09m 00s, episodes 824, frames 1.1M, mean epr -19.23, run loss 58.57
time 00h 10m 00s, episodes 904, frames 1.3M, mean epr -19.15, run loss 63.42
time 00h 11m 00s, episodes 983, frames 1.4M, mean epr -19.07, run loss 66.32
time 00h 12m 00s, episodes 1062, frames 1.5M, mean epr -19.11, run loss 62.31
time 00h 13m 00s, episodes 1140, frames 1.7M, mean epr -19.05, run loss 63.48
time 00h 14m 00s, episodes 1213, frames 1.8M, mean epr -18.87, run loss 69.41
time 00h 15m 00s, episodes 1289, frames 1.9M, mean epr -18.89, run loss 69.36

	2M frames: saved model

time 00h 16m 00s, episodes 1360, frames 2.0M, mean epr -18.84, run loss 69.40
time 00h 17m 00s, episodes 1425, frames 2.2M, mean epr -18.64, run loss 67.54
time 00h 18m 00s, episodes 1495, frames 2.3M, mean epr -18.55, run loss 70.92
time 00h 19m 00s, episodes 1563, frames 2.4M, mean epr -18.29, run loss 72.62
time 00h 20m 00s, episodes 1626, frames 2.5M, mean epr -18.37, run loss 68.04
time 00h 21m 00s, episodes 1691, frames 2.7M, mean epr -18.24, run loss 70.06
time 00h 22m 00s, episodes 1758, frames 2.8M, mean epr -18.32, run loss 63.43
time 00h 23m 00s, episodes 1821, frames 2.9M, mean epr -18.10, run loss 65.71
time 00h 24m 00s, episodes 1901, frames 3.0M, mean epr -18.72, run loss 57.48
time 00h 25m 00s, episodes 1967, frames 3.2M, mean epr -18.69, run loss 59.32
time 00h 26m 00s, episodes 2029, frames 3.3M, mean epr -18.45, run loss 63.51
time 00h 27m 00s, episodes 2089, frames 3.4M, mean epr -18.24, run loss 65.94
time 00h 28m 00s, episodes 2146, frames 3.5M, mean epr -17.84, run loss 65.74
time 00h 29m 00s, episodes 2199, frames 3.7M, mean epr -17.43, run loss 56.36
time 00h 30m 00s, episodes 2252, frames 3.8M, mean epr -17.05, run loss 54.35
time 00h 31m 00s, episodes 2308, frames 3.9M, mean epr -17.04, run loss 48.21

	4M frames: saved model

time 00h 32m 00s, episodes 2368, frames 4.0M, mean epr -17.24, run loss 49.25
time 00h 33m 00s, episodes 2424, frames 4.2M, mean epr -17.28, run loss 53.95
time 00h 34m 00s, episodes 2499, frames 4.3M, mean epr -18.09, run loss 52.28
time 00h 35m 00s, episodes 2563, frames 4.4M, mean epr -18.29, run loss 52.74
time 00h 36m 00s, episodes 2613, frames 4.5M, mean epr -17.94, run loss 57.03
time 00h 37m 00s, episodes 2674, frames 4.7M, mean epr -17.90, run loss 58.95
time 00h 38m 00s, episodes 2733, frames 4.8M, mean epr -17.92, run loss 59.53
time 00h 39m 00s, episodes 2790, frames 4.9M, mean epr -17.73, run loss 59.90
time 00h 40m 00s, episodes 2844, frames 5.0M, mean epr -17.59, run loss 71.72
time 00h 41m 00s, episodes 2904, frames 5.2M, mean epr -17.88, run loss 74.25
time 00h 42m 00s, episodes 2956, frames 5.3M, mean epr -17.69, run loss 58.65
time 00h 43m 00s, episodes 3005, frames 5.4M, mean epr -17.29, run loss 51.69
time 00h 44m 00s, episodes 3060, frames 5.5M, mean epr -17.12, run loss 44.96
time 00h 45m 00s, episodes 3107, frames 5.7M, mean epr -17.01, run loss 49.83
time 00h 46m 00s, episodes 3156, frames 5.8M, mean epr -16.76, run loss 48.88
time 00h 47m 00s, episodes 3208, frames 5.9M, mean epr -16.71, run loss 57.04

	6M frames: saved model

time 00h 48m 00s, episodes 3261, frames 6.1M, mean epr -16.83, run loss 56.03
time 00h 49m 00s, episodes 3310, frames 6.2M, mean epr -16.82, run loss 57.59
time 00h 50m 00s, episodes 3358, frames 6.3M, mean epr -16.69, run loss 51.20
time 00h 51m 00s, episodes 3408, frames 6.4M, mean epr -16.75, run loss 42.49
time 00h 52m 00s, episodes 3456, frames 6.6M, mean epr -16.71, run loss 41.15
time 00h 53m 00s, episodes 3502, frames 6.7M, mean epr -16.47, run loss 38.61
time 00h 54m 00s, episodes 3550, frames 6.8M, mean epr -16.49, run loss 29.00
time 00h 55m 00s, episodes 3604, frames 6.9M, mean epr -16.80, run loss 41.84
time 00h 56m 00s, episodes 3670, frames 7.1M, mean epr -17.31, run loss 49.20
time 00h 57m 00s, episodes 3715, frames 7.2M, mean epr -17.23, run loss 44.21
time 00h 58m 00s, episodes 3765, frames 7.3M, mean epr -16.93, run loss 47.12
time 00h 59m 01s, episodes 3809, frames 7.5M, mean epr -16.54, run loss 40.96
time 01h 00m 01s, episodes 3855, frames 7.6M, mean epr -16.78, run loss 36.66
time 01h 01m 01s, episodes 3904, frames 7.7M, mean epr -16.92, run loss 38.56
time 01h 02m 01s, episodes 3951, frames 7.8M, mean epr -16.52, run loss 43.86
time 01h 03m 01s, episodes 4001, frames 8.0M, mean epr -16.37, run loss 38.67

	8M frames: saved model

time 01h 04m 01s, episodes 4044, frames 8.1M, mean epr -16.18, run loss 28.11
time 01h 05m 01s, episodes 4088, frames 8.2M, mean epr -16.21, run loss 29.04
time 01h 06m 01s, episodes 4138, frames 8.3M, mean epr -16.40, run loss 32.66
time 01h 07m 01s, episodes 4181, frames 8.5M, mean epr -16.23, run loss 35.62
time 01h 08m 01s, episodes 4224, frames 8.6M, mean epr -16.28, run loss 28.03
